Speaker	Statement	Rating
Charles Schumer	No one questioned that she (Judge Sotomayor) was out of the mainstream	4
Charles Schumer	With a stroke of a pen, the (U.S. Supreme Court) decided to overrule the 100-year-old ban on corporate expenditures	3
Charles Schumer	No Bridge to Nowhere could occur	4
Valerie Jarrett	FACT: Nothing in #Obamacare forces people out of their health plans	4
Tim Cook	Legislation being considered in Texas would strip the salaries and pensions of clerks who issue marriage licenses to same-sex couples  even if the Supreme Court strikes down Texas marriage ban later this year	1
Joe Pojman	The State of Texas is funding  womens health services at historically high levels; they just increased their level another $50 million for the next two years	0
Neera Tanden	Forty percent of the country is going to be in states that are tolerant of gay marriage or at least civil unions	0
Neera Tanden	95 percent of the income gains in the last few years have gone to the top 1 percent	1
Scott  Keyes	The Green Bay Packers are a socialist organization	3
Jennifer Beck	New Jersey's citizens are working at the highest rate in three years	4
Jennifer Beck	We have more people working in the state of New Jersey today than we've ever had in our history	4
Jennifer Beck	The (ARC Tunnel) project was originally estimated to be $8.7 billion, and New Jersey alone was on the hook for all overruns	0
Jorge Elorza	Our median income here in Providence is the same as the median income in Mississippi	1
Jorge Elorza	We have a goal of 10 percent of [City of Providence] contracts going to women and minority businesses. In reality, less than 1 percent of contracts go to women and minority businesses	3
Jorge Elorza	The reality is that we have roughly 15,000 undocumented immigrants living in the state	4
Jorge Elorza	We have a retiree that is collecting a $17,000 paycheck a month . . . tax free	0
Jorge Elorza	In the last six years of Ciancis administration violent crime was down in the United States. It was down in the region. It was down in Rhode Island. But it was up in Providence	1
Dominick Marino	The firefighter and police officer pension system is not headed for bankruptcy, far from it. Thats because New Jersey first responders -- fire fighters and police officers -- have never missed making payments to the retirement system	2
New Jersey Tea Party	Since Obama took office, a net of 540,000 additional black Americans  Obamas strongest supporters  have lost their jobs	2
Future PAC (Oregon House Democrats)	Newgard owed more than $13,000 for unpaid taxes on his $1 million Milwaukie apartment complex	3
Pat Toomey	Joe Sestak ... even wants to bring back the death tax, letting the IRS take half of your savings when you die	3
Pat Toomey	We have the highest (corporate tax rates) in the world right now	1
Roy Blunt	Democrats have failed to answer the most basic question of how they want to pay for the more than $1 trillion of health care spending	1
Roy Blunt	I'm 59. In either Canada or Great Britain, if I broke my hip, I couldnt get it replaced	5
Rob Cornilles	Shes voted for 60 tax increases, hurting the middle class and small businesses	5
Rob Cornilles	51 percent of federal tax filers paid zero federal income tax	0
Nancy  Gordeuk	The Georgia Department of Education has implemented a new policy beginning in August that states that public schools will no longer accept credits from home school entities or non-traditional education centers	2
Alan Hays	I did not vote to spend money to fight that (Amendment 6 redistricting) lawsuit	0
Alan Hays	Your tax dollars are not being used to sue you, the people	4
Alan Hays	The Florida Legislature has not filed a lawsuit to fight Amendments 5 and 6	3
Mark Dayton	Tim Pawlenty has cut education funding in Minnesota. Classrooms are overcrowded. Districts have gone to four-day school weeks	2
Michael Mule'	Georgia has lost 14 percent of its jobs paying more than $50,000 a year and added 15 percent to its Medicaid rolls during the recovery	2
Bill Maher	Brazil got off oil in the last 30 years	4
Bill Maher	There are 278 Republicans in Congress. (With Eric Cantor's defeat), they are now all Christian and all white except for one black senator, who was appointed	2
Bill Maher	More astronauts have been to the moon than farmers who paid the inheritance tax in 2013	1
Bill Maher	Do you know that we have pipes carrying natural gas in this country that are made of wood? I'm not joking	4
Bill Maher	We're fifth in the world (in executions), behind China, Iran, Iraq and Saudi Arabia	1
Morgan Brittany	According to a government supplier of emergency products, the Disaster Assistance Response Team was told to be prepared to be activated in the month of October for an outbreak of Ebola	5
ACLU Foundation of Georgia	In the last 15 years, we've witnessed a dramatic expansion in the jailing of immigrants, from about 70,000 people detained annually to about 400,000	0
Allen Boyd	Steve Southerland did not pay his taxes in '05, '06, '07, '08 or '09	4
Pat Carlson	In Texas, schools do not even have to teach sex education	0
Florida Democratic Party	Congressman McCollum voted to dismantle Social Security	5
Florida Democratic Party	Romney supported a law that could have made most common forms of birth control illegal	4
Florida Democratic Party	Last year, (Bill McCollum) spent more than $2.2 million dollars to produce and air campaign-style TV ads where you were featured in almost every frame	1
Florida Democratic Party	(Bill) McCollum also voted for numerous amendments to weaken the legislation, even voting to make trains less accessible to those in wheelchairs	0
Julian Assange	The permission to engage was given before the word RPG was ever used	2
Sam Brownback	I'm for a three-state political solution in Iraq. (Romney) is not	0
Sam Brownback	I'm pro-life. He's not	4
Sam Brownback	Currently, we're at 36 percent of our children born out of wedlock	0
Eric Holder	After filing a lawsuit in Rhode Island, we reached an agreement with state agencies that resulted in more voters being registered in the first full month after our lawsuit than in the entire previous two-year reporting period	0
Robin Vos	In the city of Milwaukee, weve still got a mayor and a police chief who are furloughing police officers at a time when we have violence all across the city	1
Robin Vos	The nine-day deer hunt contributes more than $1.3 billion in revenue to the state of Wisconsin	1
Bill  Kristol	Twenty percent of our electricity currently comes from nuclear power plants. I think there are 104 in the United States, two of them around the coast in California	1
Steve Southerland	If you have a job in this country, (there's a) 97 percent chance that you're not going to be in poverty	1
Steve Southerland	Over the past year ... our 16 counties have hemorrhaged more than 6,000 jobs with no apparent end in sight	4
Steve Southerland	The health insurance plan that (members of Congress) have is no different than any other federal employee's in the United States government	0
Steve Southerland	The fact is, over 2.4 million jobs have been lost since the 'Stimulus' bill was signed into law in February of 2009	2
Paul Workman	Holly Turner... still takes her homestead (property tax) exemption in Fort Worth	3
Kirk Watson	Texas population is projected to double in the next 50 years or so, but our basic amount of water will remain about where it is now	1
